,price,SSD,RAM_GB,RAM_Type,Proc_Manufacturer,Proc_Series,Proc_Generation,Proc_Cores,OS_Name,OS_Bitness,Display_inch,Touchscreen,Warranty_Years,Warranty_Type
price,1.0,0.6363046317103764,0.6865651286998485,0.4900594993768835,-0.02967000576760927,0.15840448926562045,0.1423901545542758,0.2805433934726179,-0.17000169744313795,0.024641426936969912,0.12673743241632485,0.12763470711828334,0.09383220704743428,-0.0470465556489245
SSD,0.6363046317103764,1.0,0.6098318190057856,0.2803537355626469,-0.0912136359221206,0.22134019599987628,0.13406490901792184,0.23881984654090882,0.08806798234451522,0.008884185657867806,0.2454555559427483,0.08436585049872813,0.0804789229579346,0.016361733980974884
RAM_GB,0.6865651286998485,0.6098318190057856,1.0,0.35240466023280476,-0.046752221674464085,0.19834009385513116,0.20158729971509734,0.2987488252346908,0.03383296627168815,0.025747922414688786,0.1403374291965768,0.19611576833456507,0.07751886509151822,0.050343246672611607
RAM_Type,0.4900594993768835,0.2803537355626469,0.35240466023280476,1.0,-0.11295545497308047,0.15757585766200774,0.23481585210566067,0.15600821936443085,-0.48750716163133734,0.009866252792090868,-0.0004903381840898703,0.06271233279057277,-0.08964549910185102,-0.17422435610892914
Proc_Manufacturer,-0.02967000576760927,-0.0912136359221206,-0.046752221674464085,-0.11295545497308047,1.0,-0.9272349481575098,0.19436417499879202,0.43267120888875,0.09276504257715378,0.053128731662105966,-0.12153088400637094,0.03427946254276947,0.14999829290582795,0.059201568748894616
Proc_Series,0.15840448926562045,0.22134019599987628,0.19834009385513116,0.15757585766200774,-0.9272349481575098,1.0,-0.1541962138612887,-0.2663267032693019,0.01212212725249352,-0.047481899306355414,0.15753607558867677,0.0012528850730433275,-0.11417064973601918,-0.05707890736075438
Proc_Generation,0.1423901545542758,0.13406490901792184,0.20158729971509734,0.23481585210566067,0.19436417499879202,-0.1541962138612887,1.0,0.2340033887210195,0.011469154576204921,0.00012042998373784781,0.12216231003734504,0.10337745011763773,0.02210103147680062,-0.00012653800881826812
Proc_Cores,0.2805433934726179,0.23881984654090882,0.2987488252346908,0.15600821936443085,0.43267120888875,-0.2663267032693019,0.2340033887210195,1.0,-0.004135318303905915,0.07142118179211408,0.017389045117032608,0.1107735007438572,0.07874138113123927,-0.051639578138301875
OS_Name,-0.17000169744313795,0.08806798234451522,0.03383296627168815,-0.48750716163133734,0.09276504257715378,0.01212212725249352,0.011469154576204921,-0.004135318303905915,1.0,-9.610852069598017e-05,0.24952572505352952,0.09736272685168453,0.08654838937748223,0.26744835300695186
OS_Bitness,0.024641426936969912,0.008884185657867806,0.025747922414688786,0.009866252792090868,0.053128731662105966,-0.047481899306355414,0.00012042998373784781,0.07142118179211408,-9.610852069598017e-05,1.0,0.03866493723774905,0.014427112307275922,0.010186146374299576,0.004084648340074158
Display_inch,0.12673743241632485,0.2454555559427483,0.1403374291965768,-0.0004903381840898703,-0.12153088400637094,0.15753607558867677,0.12216231003734504,0.017389045117032608,0.24952572505352952,0.03866493723774905,1.0,-0.32305094188915,0.06528226058014688,0.10029768585203956
Touchscreen,0.12763470711828334,0.08436585049872813,0.19611576833456507,0.06271233279057277,0.03427946254276947,0.0012528850730433275,0.10337745011763773,0.1107735007438572,0.09736272685168453,0.014427112307275922,-0.32305094188915,1.0,-0.039090105290637306,-0.00840388589417451
Warranty_Years,0.09383220704743428,0.0804789229579346,0.07751886509151822,-0.08964549910185102,0.14999829290582795,-0.11417064973601918,0.02210103147680062,0.07874138113123927,0.08654838937748223,0.010186146374299576,0.06528226058014688,-0.039090105290637306,1.0,0.2112797009354923
Warranty_Type,-0.0470465556489245,0.016361733980974884,0.050343246672611607,-0.17422435610892914,0.059201568748894616,-0.05707890736075438,-0.00012653800881826812,-0.051639578138301875,0.26744835300695186,0.004084648340074158,0.10029768585203956,-0.00840388589417451,0.2112797009354923,1.0
